Title,Artist,Type,Amount,Notes
NANA,Big Nose,Single,$845.22,
dust,Big Nose,Single,$334.51,
Fingerboarding,Big Nose,Song on Album,$181.57,
Elephants,Big Nose,Song on Album,$169.98,
Leaving the Suburbs,Big Nose,Single,$122.50,
4 strings,L.Dre,Song on Album,$103.00,50% of splits
Lavender,Big Nose,Song on Album,$66.71,
Sailing South,Big Nose,Song on Album,$54.13,
Beauty,Big Nose,Song on Album,$23.14,
Birthday VHS,Big Nose,Song on Album,$22.93,
Other,Referrals etc.,,$20.00,
Cliffside,Groovetide,Big Nose,Single,$19.41,50% of splits
Ghost Driver (feat. LUMRY),Big Nose,Single,$16.61,
SAGI,Big Nose,Single,$13.53,
Complex Numbers,Big Nose,Single,$9.15,
Messed Up,Big Nose,Single,$4.12,
i miss my dog,Big Nose,Single,$4.02,
OFFLINE,Big Nose,Single,$3.77,
When I Sleep,Big Nose,Single,$3.61,
Blue,Big Nose,Single,$3.50,
Better Place,Big Nose,Single,$3.42,
Magic,Big Nose,Single,$3.06,
Whendays,Big Nose,Single,$2.74,
Dinner In Paris,"Big Nose, Fred Paci",Single,$2.69,50% of splits
CAL,Big Nose,Single,$2.61,
ONLY WAIT A MINUTE,Big Nose,Single,$2.44,
I Fucked Up,Big Nose,Single,$2.43,
CAMELIA,Big Nose,Single,$2.36,
Chasing Clouds,Big Nose,Single,$2.35,
New End,Big Nose,Song on Album,$1.81,
My Love,Big Nose,Single,$1.79,
SURELY,Big Nose,Single,$1.59,
pink,Big Nose,Single,$1.54,
Passion Week,Big Nose,Song on Album,$1.50,
All These Times,Big Nose,Song on Album,$1.43,
Dive In,Big Nose,Single,$1.42,
Moody Hoody,Big Nose,Song on Album,$1.40,
THE CUBE,Big Nose,Song on Album,$1.40,
I Can't Feel The Love,Big Nose,Single,$1.37,
DISCOVERING,Big Nose,Single,$1.36,
I'm About To Lose My Baby,Big Nose,Single,$1.33,
And Some Freckles,Big Nose,Single,$1.32,
Too Old To Go Wild,Big Nose,Single,$1.27,
frappuccino,Big Nose,Single,$1.24,
Gold,Big Nose,Single,$1.23,
SIVLE,Big Nose,Song on Album,$1.20,
INVALID INPUT,Big Nose,Single,$1.20,
I'm Sorry,Big Nose,Single,$1.16,
So Many Times,Big Nose,Song on Album,$1.14,
I Think I Have Covid 19,Big Nose,Single,$1.09,
Say My Name Cindy,Big Nose,Single,$1.06,
Nobody loves me like you do,Big Nose,Single,$1.04,
SILLA,Big Nose,Single,$0.99,
YOU JUST NEED YOUR TIME,Big Nose,Single,$0.98,
She Was Different,Big Nose,Single,$0.97,
Hang in There Pal,Big Nose,Song on Album,$0.96,
Seduce Me,Big Nose,Single,$0.93,
Honey,Big Nose,Single,$0.92,
Entangled,Big Nose,Single,$0.91,
Took a Day OFF,Big Nose,Song on Album,$0.91,
Delete Forever,Big Nose,Song on Album,$0.81,
Options,Big Nose,Single,$0.80,
Nothing At All,Big Nose,Single,$0.76,
Cold N Dry,Big Nose,Single,$0.75,
love wind,Big Nose,Single,$0.75,
9 Reasons,Big Nose,Single,$0.74,
LEE,Big Nose,Single,$0.74,
CORTISOL,Big Nose,Single,$0.72,
Apple Crisp,"Chillowfy, Big Nose",Single,$0.68,50% of splits
who am i?,Big Nose,Single,$0.65,
It's A Vinyl,Big Nose,Single,$0.63,
The Lonley Road,Big Nose,Song on Album,$0.61,
Hypocrisy,Big Nose,Single,$0.59,
Shady Fans,Big Nose,Single,$0.57,
My Side,Hunter Hadley,Single,$0.55,50% of splits
Five Years Ago,Big Nose,Single,$0.54,
Shutting Down,Big Nose,Single,$0.54,
Now What?,Big Nose,Single,$0.53,
I NO U,Big Nose,Single,$0.51,
Desert Rider,Big Nose,Single,$0.48,
AOMM,Big Nose,Single,$0.48,
Will We Make It?,Big Nose,Single,$0.47,
You Are Doing Great, Breath,Big Nose,Single,$0.47,
FISHES,Big Nose,Single,$0.46,
IAISDWMD,Big Nose,Song on Album,$0.46,
Fine, I'll Wait,Mad Seedling x Big Nose,Single,$0.46,50% of splits
So Fake,Big Nose,Single,$0.44,
Debugger,Big Nose,Single,$0.42,
alluvium,Big Nose,Single,$0.41,
Mini Happy Bird,Big Nose,Song on Album,$0.40,
GOODBYELUV,Big Nose,Song on Album,$0.40,
GAME OF LOVE,Big Nose,Song on Album,$0.40,
Online,Big Nose,Song on Album,$0.38,
DE PEN,Big Nose,Song on Album,$0.38,
A Matter Of Time,Big Nose,Single,$0.38,
Tolerance,Big Nose,Song on Album,$0.37,
CORTADO,Big Nose,Single,$0.36,
On And Off,Big Nose,Single,$0.34,
you shouldn’t go to bed before i text you back,Big Nose,Single,$0.33,
doing my homework,Big Nose,Single,$0.32,
What's your name, darling?,Big Nose,Single,$0.32,
sage,Big Nose,Single,$0.31,
Connections,Big Nose,Single,$0.31,
Looking For The Wave,Big Nose,Song on Album,$0.29,
LOYODEA,Big Nose,Song on Album,$0.28,
THE DRIVE,Big Nose,Song on Album,$0.27,
Rain Coat,Big Nose,Song on Album,$0.26,
Reaper,Big Nose,Single,$0.25,
RED FLOOD,Big Nose,Song on Album,$0.23,
לא חוזר,Big Nose,Single,$0.21,
WILLPOWER.,Big Nose,Single,$0.21,
Cancel,Big Nose,Song on Album,$0.20,
It's Almost 1 Am,Big Nose,Song on Album,$0.20,
while stop,Big Nose,Single,$0.18,
IPA AT 21,Big Nose,Song on Album,$0.18,
When She Smiles,Big Nose,Song on Album,$0.16,
Slay Sin,Big Nose,Song on Album,$0.14,
In The Laboratory,Big Nose,Song on Album,$0.11,
Little River Town,Big Nose,Song on Album,$0.10,
Dina,Big Nose,Song on Album,$0.07,
Raindrops,Big Nose,Song on Album,$0.07,
Metal Revans,Big Nose,Song on Album,$0.05,
Anti Chafe,Big Nose,Song on Album,$0.05,
