date,listeners,streams,followers
2023-01-01,1992,2294,330
2023-01-02,2804,3149,330
2023-01-03,3821,4222,330
2023-01-04,3659,3996,330
2023-01-05,4066,4473,330
2023-01-06,3606,3963,330
2023-01-07,2737,3137,331
2023-01-08,2707,3032,331
2023-01-09,3755,4099,331
2023-01-10,3926,4420,331
2023-01-11,3961,4366,331
2023-01-12,4424,4838,332
2023-01-13,3964,4373,332
2023-01-14,2954,3402,332
2023-01-15,2957,3531,332
2023-01-16,3761,4223,331
2023-01-17,4210,4571,332
2023-01-18,4657,5233,333
2023-01-19,4863,5468,333
2023-01-20,4730,5148,333
2023-01-21,3398,3764,333
2023-01-22,3516,3864,333
2023-01-23,4762,5256,333
2023-01-24,4591,4987,334
2023-01-25,4726,5186,333
2023-01-26,3968,4345,333
2023-01-27,3889,4221,333
2023-01-28,2690,2943,334
2023-01-29,2903,3218,334
2023-01-30,3949,4269,335
2023-01-31,4146,4494,336
2023-02-01,4131,4545,336
2023-02-02,3940,4340,336
2023-02-03,3521,3888,336
2023-02-04,2575,2954,336
2023-02-05,2489,2821,336
2023-02-06,3695,4051,336
2023-02-07,3516,3939,336
2023-02-08,3810,4208,336
2023-02-09,4099,4449,337
2023-02-10,3813,4117,337
2023-02-11,2960,3289,337
2023-02-12,3125,3394,337
2023-02-13,4182,4491,337
2023-02-14,4306,4624,337
2023-02-15,4506,4848,338
2023-02-16,4454,4785,338
2023-02-17,3500,3756,338
2023-02-18,2745,2933,338
2023-02-19,2815,3067,339
2023-02-20,3842,4096,339
2023-02-21,4321,4691,339
2023-02-22,4229,4542,339
2023-02-23,4237,4585,339
2023-02-24,3756,4053,339
2023-02-25,2745,3012,339
2023-02-26,2851,3129,339
2023-02-27,3911,4226,339
2023-02-28,4256,4648,339
2023-03-01,4177,4595,339
2023-03-02,4475,4791,339
2023-03-03,3894,4182,339
2023-03-04,2750,3010,339
2023-03-05,2823,3064,339
2023-03-06,4294,4571,339
2023-03-07,4721,5073,339
2023-03-08,4583,4892,339
2023-03-09,4782,5130,339
2023-03-10,3937,4204,340
2023-03-11,3072,3346,340
