song,listeners,streams,saves,release_date
"Take",48570,115314,195,2022-07-22
"Stella",25042,42215,91,2022-05-16
"Fingerboarding",3841,12882,89,2021-08-04
"Elephants",999,3982,26,2021-08-04
"Japan Hotel",833,3190,22,2022-08-31
"Complex Numbers",93,2329,51,2024-04-30
"Mudslide",922,2248,11,2022-04-07
"Ghost Driver",620,1982,53,2021-08-06
"4 strings",620,1860,28,2021-10-29
"NANA",499,1498,4,2022-10-12
"Sailing South",445,1473,17,2021-08-04
"When She Smiles",778,1130,114,2024-12-25
"Leaving the Suburbs",197,831,13,2020-09-23
"Cliffside",475,696,9,2023-04-21
"Lavender",178,690,4,2021-08-04
"Beauty",161,606,8,2021-08-04
"Slay Sin",24,598,11,2024-12-13
"SAGI",174,370,8,2021-12-05
"dust",110,354,1,2022-08-17
"Birthday VHS",81,263,7,2021-08-04
"Mr Bird",84,216,5,2022-01-08
"Dinner In Paris",69,125,1,2021-09-09
"RED FLOOD",33,121,0,2024-12-13
"Pandas",43,81,0,2023-02-03
"The Lonley Road",15,76,7,2025-01-31
"When I Sleep",13,73,0,2022-01-31
"SIVLE",10,71,0,2024-12-13
"Desert Rider",12,63,2,2024-08-17
"you shouldn’t go to bed before i text you back",17,55,1,2024-07-28
"Delete Forever",14,49,6,2025-01-31
"Looking For The Wave",17,49,6,2025-01-31
"You Are Doing Great, Breath",15,40,0,2024-02-07
"Mini Happy Bird",11,40,6,2025-01-31
"love wind",10,34,0,2023-08-04
"i miss my dog",18,32,1,2023-03-02
"Cancel",13,32,5,2025-01-31
"Tolerance",21,31,2,2024-12-25
"IAISDWMD",20,30,3,2025-05-23
"Messed Up",20,28,0,2020-10-21
"Debugger",19,27,0,2020-12-19
"In The Laboratory",16,26,2,2024-12-25
"pink",15,26,1,2023-08-24
"Dina",19,25,2,2024-12-25
"Pekingese Smile",18,25,1,2024-03-05
"AOMM",11,24,1,2024-11-15
"Little River Town",16,24,2,2024-12-25
"Online",16,23,2,2024-12-25
"What's your name, darling?",4,22,0,2023-03-17
"It's Almost 1 Am",14,22,2,2024-12-25
"WILLPOWER.",9,21,0,2023-04-14
"Rain Coat",13,21,2,2024-12-25
"Raindrops",13,20,2,2024-12-25
"9 Reasons",3,19,0,2023-01-11
"frappuccino",6,19,0,2022-11-10
"Anti Chafe",14,18,2,2025-05-23
"YOU JUST NEED YOUR TIME",5,17,0,2021-04-24
"CAL",7,17,0,2023-05-21
"CAMELIA",11,16,0,2022-06-22
"doing my homework",12,15,0,2024-02-21
"לא חוזר",7,15,0,2024-06-22
"DISCOVERING",6,13,0,2021-05-14
"Metal Revans",6,12,2,2025-05-23
"Entangled",4,12,0,2023-11-30
"Too Old To Go Wild",2,12,0,2021-03-26
"INVALID INPUT",7,11,0,2024-06-14
"LOYODEA",7,11,0,2023-10-11
"while stop",7,10,0,2024-05-29
"CORTISOL",5,9,1,2023-06-09
"ONLY WAIT A MINUTE",3,9,0,2021-04-03
"She Was Different",5,9,0,2022-03-04
"Fine, I'll Wait",7,9,0,2022-04-22
"A Matter Of Time",1,9,0,2020-12-11
"I NO U",4,9,0,2021-06-05
"LEE",7,8,0,2023-06-29
"Better Place",2,8,0,2020-11-20
"Nobody loves me like you do",5,8,0,2023-03-30
"who am i?",6,8,0,2023-09-06
"SILLA",2,8,0,2022-12-06
"GOODBYELUV",6,7,1,2023-10-11
"Nothing At All",2,7,0,2021-02-16
"I'm Sorry",2,7,0,2020-10-16
"Shutting Down",2,7,0,2021-05-29
"New End",3,7,0,2019-06-24
"Dive In",3,6,0,2021-01-08
"SURELY",3,6,0,2021-06-12
"And Some Freckles",1,6,0,2021-01-10
"IPA AT 21",4,6,0,2023-10-11
"sage",3,6,0,2023-02-17
"Hypocrisy",4,6,0,2021-12-26
"CORTADO",3,6,0,2022-12-22
"Cold N Dry",2,6,0,2020-04-05
"alluvium",3,5,0,2022-09-21
"Now What?",2,5,0,2022-02-07
"GAME OF LOVE",4,5,0,2023-10-11
"Magic",2,5,1,2020-10-16
"I Think I Have Covid 19",4,5,0,2021-03-08
"Sunrise in Sorrento",4,5,1,2024-01-23
"It's A Vinyl",1,4,0,2020-12-03
"Moody Hoody",2,4,0,2020-02-05
"My Love",1,4,0,2021-01-16
"Took a Day Off",3,4,0,2019-06-24
"Shady Fans",2,4,0,2021-10-10
"Blue",2,4,0,2021-07-23
"So Many Times",2,4,0,2019-06-24
"So Fake",2,3,0,2020-11-13
"Gold",1,3,0,2020-10-03
"Connections",2,3,0,2020-10-08
"Passion Week",3,3,0,2019-06-24
"Five Years Ago",3,3,0,2020-07-20
"THE CUBE",2,3,0,2021-05-02
"Chasing Clouds",3,3,0,2021-01-22
"Reaper",1,3,0,2020-12-26
"Whendays",3,3,0,2021-07-23
"On And Off",2,2,0,2020-10-30
"Honey",1,2,0,2020-10-04
"Say My Name Cindy",2,2,0,2021-02-06
"All These Times",2,2,0,2019-06-24
"OFFLINE",1,2,0,2022-01-04
"I Fucked Up",1,2,0,2021-01-29
"THE DRIVE",1,1,0,2021-05-02
"Hang in There Pal",1,1,0,2020-02-05
"Options",1,1,0,2022-01-20
"I Can't Feel The Love",1,1,0,2020-11-05
"Will We Make It?",1,1,0,2021-03-07
"FISHES",1,1,0,2021-03-19
"I'm About To Lose My Baby",1,1,0,2021-02-12
