date,listeners,streams,followers,year_month
2024-12-25,155,186,520,2024-12
2024-12-26,301,329,520,2024-12
2024-12-27,333,354,520,2024-12
2024-12-28,245,259,520,2024-12
2024-12-29,245,308,520,2024-12
2024-12-30,386,447,520,2024-12
2024-12-31,368,415,520,2024-12
2025-01-01,247,317,520,2025-01
2025-01-02,510,548,520,2025-01
2025-01-03,507,550,521,2025-01
2025-01-04,339,383,521,2025-01
2025-01-05,384,433,521,2025-01
2025-01-06,616,672,521,2025-01
2025-01-07,634,691,523,2025-01
2025-01-08,691,779,523,2025-01
2025-01-09,672,736,516,2025-01
2025-01-10,619,676,515,2025-01
2025-01-11,376,417,515,2025-01
2025-01-12,383,449,515,2025-01
2025-01-13,643,681,515,2025-01
2025-01-14,732,790,515,2025-01
2025-01-15,704,746,515,2025-01
2025-01-16,705,749,515,2025-01
2025-01-17,637,710,515,2025-01
2025-01-18,456,492,515,2025-01
2025-01-19,404,459,515,2025-01
2025-01-20,583,665,515,2025-01
2025-01-21,723,780,514,2025-01
2025-01-22,716,778,514,2025-01
2025-01-23,688,763,514,2025-01
2025-01-24,623,689,515,2025-01
2025-01-25,418,478,515,2025-01
2025-01-26,410,450,515,2025-01
2025-01-27,729,780,515,2025-01
2025-01-28,740,786,515,2025-01
2025-01-29,734,792,515,2025-01
2025-01-30,718,748,515,2025-01
2025-01-31,627,725,515,2025-01
2025-02-01,395,427,515,2025-02
2025-02-02,393,434,515,2025-02
2025-02-03,717,869,516,2025-02
2025-02-04,711,773,517,2025-02
2025-02-05,752,810,517,2025-02
2025-02-06,740,824,517,2025-02
2025-02-07,660,704,517,2025-02
2025-02-08,427,497,517,2025-02
2025-02-09,413,449,518,2025-02
2025-02-10,728,764,518,2025-02
2025-02-11,1317,1417,535,2025-02
2025-02-12,1083,1127,543,2025-02
2025-02-13,709,773,543,2025-02
2025-02-14,625,666,543,2025-02
2025-02-15,378,419,544,2025-02
2025-02-16,373,406,544,2025-02
2025-02-17,1153,1205,581,2025-02
2025-02-18,1190,1302,601,2025-02
2025-02-19,909,954,603,2025-02
2025-02-20,691,752,604,2025-02
2025-02-21,639,777,604,2025-02
2025-02-22,439,491,605,2025-02
2025-02-23,445,516,605,2025-02
2025-02-24,706,775,605,2025-02
2025-02-25,792,844,605,2025-02
2025-02-26,815,887,605,2025-02
2025-02-27,774,828,605,2025-02
2025-02-28,600,690,605,2025-02
2025-03-01,406,465,606,2025-03
2025-03-02,376,416,606,2025-03
2025-03-03,755,845,606,2025-03
2025-03-04,761,822,606,2025-03
2025-03-05,750,783,606,2025-03
2025-03-06,802,841,606,2025-03
2025-03-07,606,638,606,2025-03
2025-03-08,399,434,606,2025-03
2025-03-09,378,419,606,2025-03
2025-03-10,695,728,606,2025-03
